Supplementary Table 7. Genes in DEPICT-defined loci,,,,,,,,,
Locus,Number of genes in locus,Chromosome and position,GWAS P-value,Ensembl gene ID,Gene symbol,Nominal P-value,Gene closest to lead SNP,FDR,
rs9545395;rs936496;rs185989636;rs17811799,3,chr13:35516424-36705467,3.81E-11,ENSG00000133083,DCLK1,1.01E-15,FALSE,<0.01,
rs1671770;rs1718188;rs10774563;rs113473640,18,chr12:120881764-121623876,9.05E-12,ENSG00000157782,CABP1,1.04E-15,TRUE,<0.01,
rs35417702;rs78193153;rs2867566;rs1548422;rs74998753,1,chr7:71244476-71912148,2.40E-27,ENSG00000183166,CALN1,1.12E-15,TRUE,<0.01,
rs58779949;rs11231643,24,chr11:63606400-64139687,3.84E-09,ENSG00000167770,OTUB1,1.36E-15,FALSE,<0.01,
rs11000785;rs10824045,10,chr10:75432880-75682535,1.32E-07,ENSG00000148660,CAMK2G,1.65E-15,FALSE,<0.01,
rs78116078,1,chr1:18434240-18704977,3.33E-08,ENSG00000117154,IGSF21,1.71E-15,TRUE,<0.01,
rs363096;rs362307;rs4690081;rs6853599;rs6824567;rs116069820,12,chr4:2794750-3451211,5.77E-24,ENSG00000159788,RGS12,1.75E-15,FALSE,<0.01,
rs854796;rs113269212,17,chr17:17750139-18639432,4.66E-09,ENSG00000091542,ALKBH5,1.80E-15,TRUE,<0.01,
rs2434672;rs31947;rs13182649;rs2561621,1,chr5:10971952-11904155,1.06E-10,ENSG00000169862,CTNND2,1.87E-15,TRUE,<0.01,
rs708915,1,chr20:8112824-8949003,1.68E-07,ENSG00000182621,PLCB1,1.96E-15,TRUE,<0.01,
rs9886703;rs4877516;rs7035315;rs11138664;rs62573823;rs7019624,1,chr9:82186688-82341658,4.46E-13,ENSG00000106829,TLE4,2.67E-15,TRUE,<0.01,
rs4938083,1,chr11:110447766-110583912,1.42E-06,ENSG00000137727,ARHGAP20,2.80E-15,TRUE,<0.01,
rs56139009;rs7916697,9,chr10:69865912-70454239,2.21E-06,ENSG00000179774,ATOH7,2.81E-15,TRUE,<0.01,
rs2055940;rs4279178,2,chr4:46920917-47428461,4.95E-08,ENSG00000163288,GABRB1,3.02E-15,FALSE,<0.01,
rs12789313;rs7109593;rs78627992,1,chr11:24518516-25104150,6.79E-11,ENSG00000187398,LUZP2,3.04E-15,TRUE,<0.01,
rs10411759,2,chr19:1815245-1863564,2.88E-09,ENSG00000079313,REXO1,3.11E-15,FALSE,<0.01,
rs913402,1,chr13:77618792-77901185,3.36E-06,ENSG00000005810,MYCBP2,3.17E-15,TRUE,<0.01,
rs67004399,1,chr14:102228135-102394326,1.03E-06,ENSG00000078304,PPP2R5C,3.35E-15,TRUE,<0.01,
rs4358081,6,chr2:28931819-29275096,1.28E-11,ENSG00000213639,PPP1CB,3.35E-15,FALSE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000175229,GAL3ST3,3.45E-15,FALSE,<0.01,
rs59480703,1,chr8:9757574-9762876,3.97E-12,ENSG00000253230,-,3.50E-15,TRUE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000175115,PACS1,3.84E-15,FALSE,<0.01,
rs6573559;rs6573552,11,chr14:64319683-65056098,3.11E-12,ENSG00000179841,AKAP5,3.94E-15,FALSE,<0.01,
rs2657283,3,chr10:76854190-76995788,2.08E-09,ENSG00000156671,SAMD8,4.13E-15,FALSE,<0.01,
rs17400325,2,chr2:178492797-178973081,8.27E-08,ENSG00000128655,PDE11A,4.20E-15,FALSE,<0.01,
rs8024,3,chr1:201592411-201915716,1.13E-14,ENSG00000134369,NAV1,4.23E-15,FALSE,<0.01,
rs2314338;rs118101047;rs507671;rs112199584,9,chr17:38278790-38613983,9.50E-09,ENSG00000188895,MSL1,4.63E-15,FALSE,<0.01,
rs10249075,5,chr7:77166592-77586818,4.04E-06,ENSG00000187257,RSBN1L,4.87E-15,FALSE,<0.01,
rs114352120,7,chr5:64813593-65167553,2.80E-07,ENSG00000113595,TRIM23,5.13E-15,FALSE,<0.01,
rs732904,1,chr5:179660143-179719099,1.48E-06,ENSG00000050748,MAPK9,5.16E-15,TRUE,<0.01,
rs2430808,3,chr8:22570769-22877712,8.43E-07,ENSG00000008853,RHOBTB2,5.27E-15,FALSE,<0.01,
rs58779949;rs11231643,24,chr11:63606400-64139687,3.84E-09,ENSG00000126500,FLRT1,5.37E-15,FALSE,<0.01,
rs2297293;rs9978480,2,chr21:47063608-47424964,8.80E-11,ENSG00000183570,PCBP3,5.50E-15,TRUE,<0.01,
rs6531520,1,chr4:37245842-37451087,1.60E-06,ENSG00000174145,KIAA1239,5.61E-15,TRUE,<0.01,
rs301793;rs11121155;rs11589090;rs66504733,2,chr1:8377886-8877702,1.44E-16,ENSG00000142599,RERE,5.98E-15,FALSE,<0.01,
rs150831392,6,chr11:73357223-73681411,4.38E-06,ENSG00000175582,RAB6A,6.38E-15,FALSE,<0.01,
rs11592299;rs3781339;rs12774577;rs10748841;rs76957677;rs2986016;rs1538205;rs146952142;rs138873813;rs3740409,22,chr10:104221149-105615301,8.69E-13,ENSG00000148798,INA,6.77E-15,FALSE,<0.01,
rs2174528,1,chr5:24487209-24645087,8.39E-07,ENSG00000040731,CDH10,6.92E-15,TRUE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000008300,CELSR3,8.07E-15,FALSE,<0.01,
rs76246107,9,chr19:49977486-50161905,6.52E-10,ENSG00000126461,SCAF1,8.09E-15,FALSE,<0.01,
rs9442750;rs146613518,1,chr6:72596406-73112845,3.15E-08,ENSG00000079841,RIMS1,8.10E-15,TRUE,<0.01,
rs192436652;rs17516383,4,chr19:54926373-54984411,2.06E-12,ENSG00000167615,LENG8,9.12E-15,TRUE,<0.01,
rs2545795,4,chr5:176830205-176901402,1.03E-18,ENSG00000131188,PRR7,1.04E-14,FALSE,<0.01,
rs2316182,2,chr9:91628060-91793682,7.88E-07,ENSG00000148082,SHC3,1.06E-14,TRUE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000090097,PCBP4,1.06E-14,FALSE,<0.01,
rs74415461;rs118124826;rs35754755;rs4785577;rs9673820;rs9932312;rs12917772;rs8047204,26,chr16:89154783-90142338,6.25E-12,ENSG00000167522,ANKRD11,1.24E-14,FALSE,<0.01,
rs1054442;rs80257979;rs11168951;rs11168828,15,chr12:49297286-49692465,1.10E-20,ENSG00000181418,DDN,1.33E-14,TRUE,<0.01,
rs165633;rs145974062,6,chr22:29833006-30094587,1.27E-12,ENSG00000225465,RFPL1-AS1,1.63E-14,FALSE,<0.01,
rs8009933,4,chr14:39501123-39652422,4.72E-09,ENSG00000182400,TRAPPC6B,1.82E-14,FALSE,<0.01,
rs12212126,1,chr6:165740776-166075588,4.58E-06,ENSG00000112541,PDE10A,1.84E-14,TRUE,<0.01,
rs7623169;rs6550896;rs826380,2,chr3:24137760-24536773,3.10E-07,ENSG00000151090,THRB,1.87E-14,TRUE,<0.01,
rs66568921;rs56262138;rs9830359;rs17026843;rs1003986;rs75841665;rs34859143;rs111793972;rs4456862,2,chr3:85008132-86117944,7.60E-34,ENSG00000175161,CADM2,1.88E-14,TRUE,<0.01,
rs11749676,1,chr5:174867675-174871163,2.64E-06,ENSG00000184845,DRD1,1.94E-14,TRUE,<0.01,
rs178183;rs78009242,1,chr14:26912299-27066960,4.81E-19,ENSG00000139910,NOVA1,1.94E-14,TRUE,<0.01,
rs7311746,1,chr12:861759-1020618,2.33E-06,ENSG00000060237,WNK1,2.07E-14,TRUE,<0.01,
rs7167688,1,chr15:26788693-27184686,1.71E-11,ENSG00000166206,GABRB3,2.98E-14,FALSE,<0.01,
rs17113730,1,chr12:74931551-74935223,4.10E-10,ENSG00000253719,ATXN7L3B,3.07E-14,TRUE,<0.01,
rs17170519;rs12701263,2,chr7:32535038-33078516,1.99E-08,ENSG00000105778,AVL9,3.33E-14,FALSE,<0.01,
rs8042593,6,chr15:66585555-66858302,5.82E-07,ENSG00000169032,MAP2K1,3.38E-14,FALSE,<0.01,
rs7029718;rs1329044;rs117273411;rs2805064;rs12345568;rs13284516;rs4977885;rs73457936;rs79420284;rs10966166;rs72700034;rs117349657;rs143773936;rs11787746;rs184795764;rs10119773;rs117494884,1,chr9:23690102-23826335,7.82E-65,ENSG00000107105,ELAVL2,3.95E-14,TRUE,<0.01,
rs351880;rs61746505,1,chr20:62783144-62873604,9.38E-08,ENSG00000196132,MYT1,4.07E-14,FALSE,<0.01,
rs9371883;rs12660494;rs9397782;rs71575023,4,chr6:155153831-155635627,3.42E-09,ENSG00000146426,TIAM2,4.21E-14,FALSE,<0.01,
rs580652,1,chr11:83166055-85338966,4.65E-10,ENSG00000150672,DLG2,4.41E-14,TRUE,<0.01,
rs12076635;rs112361411;rs2428954;rs45605334;rs145155829;rs1198982;rs61768375;rs1362153;rs1999595;rs150833155,25,chr1:43629846-44497139,3.33E-34,ENSG00000117411,B4GALT2,4.53E-14,TRUE,<0.01,
rs6575340,3,chr14:93703896-94174222,7.10E-08,ENSG00000133958,UNC79,4.54E-14,FALSE,<0.01,
rs2406253;rs10241492;rs4134932,17,chr7:99699172-100092422,3.58E-14,ENSG00000146826,C7orf43,4.66E-14,FALSE,<0.01,
rs4894658,1,chr3:173114074-174004434,1.34E-08,ENSG00000169760,NLGN1,5.08E-14,FALSE,<0.01,
rs71529384,1,chr7:5314000-5343696,1.27E-07,ENSG00000164638,SLC29A4,5.18E-14,TRUE,<0.01,
rs9899056,2,chr17:48172101-48207246,2.01E-06,ENSG00000167100,SAMD14,5.31E-14,FALSE,<0.01,
rs12619019;rs138094079;rs11690765,5,chr2:202937978-203634480,1.10E-07,ENSG00000138439,FAM117B,5.44E-14,TRUE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000251562,MALAT1,5.55E-14,FALSE,<0.01,
rs3817923;rs17278379,3,chr1:171810621-172437971,4.11E-08,ENSG00000197959,DNM3,5.70E-14,TRUE,<0.01,
rs2416759;rs10984798,3,chr9:123363091-123605229,1.45E-09,ENSG00000106780,MEGF9,5.94E-14,FALSE,<0.01,
rs74453875;rs62260764;rs11709573;rs9859556;rs3172494;rs74473238;rs144519232;rs55786114;rs2624818;rs71325001;rs34037363;rs55689339;rs141260127;rs112269639;rs11716398;rs190848966;rs55935606;rs62263033;rs116033001;rs77719387;rs140021702;rs6780575;rs3731507;rs116656374;rs62248598;rs182355396;rs1264194;rs73083140;rs113893318;rs116192940;rs138484388;rs736471;rs11720093;rs140269757;rs114182490;rs73089145;rs140195698;rs115669815;rs74976288;rs78166579;rs142613277;rs62259688;rs115235457;rs148682976;rs73080658;rs144906913;rs78370841;rs41291718;rs147765736;rs17784127;rs112015135;rs115970881;rs4348025;rs76331936;rs11130296;rs41305602;rs9878281;rs71297377;rs76150957;rs76761409;rs17783959;rs141063524;rs148115848;rs62260741;rs113016568;rs75304768,107,chr3:46899362-52090566,4.61E-82,ENSG00000114646,CSPG5,6.00E-14,TRUE,<0.01,
rs12461072,6,chr19:18208603-18359010,8.98E-07,ENSG00000099308,MAST3,6.65E-14,FALSE,<0.01,
rs6729612,1,chr2:152689290-152955593,9.39E-10,ENSG00000182389,CACNB4,7.08E-14,FALSE,<0.01,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000168539,CHRM1,7.37E-14,FALSE,<0.01,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000183864,TOB2,8.13E-14,FALSE,<0.01,
rs173768;rs6881515,2,chr5:160715436-161129599,1.34E-07,ENSG00000145864,GABRB2,8.18E-14,FALSE,<0.01,
rs10742591;rs10444280;rs140608214,1,chr11:40135753-41481323,4.26E-09,ENSG00000148948,LRRC4C,9.96E-14,TRUE,<0.01,
rs6060001,12,chr20:32951041-33680674,7.47E-07,ENSG00000131067,GGT7,1.06E-13,FALSE,<0.01,
rs1861786;rs1019385,1,chr12:13714144-14133053,2.39E-08,ENSG00000150086,GRIN2B,1.08E-13,TRUE,<0.01,
rs9595885,4,chr13:32974861-33352157,7.58E-07,ENSG00000083642,PDS5B,1.13E-13,TRUE,<0.01,
rs17186106;rs2870281;rs7655515;rs12331072;rs11735195,2,chr4:90800683-92523064,3.95E-09,ENSG00000184305,FAM190A,1.27E-13,TRUE,<0.01,
rs1154780,1,chr7:77646393-79082890,5.73E-07,ENSG00000187391,MAGI2,1.29E-13,FALSE,<0.01,
rs117340654;rs642803;rs585557;rs76878669;rs35947684;rs118151305;rs10896139;rs116864252;rs4930188;rs35111506;rs72939178;rs479018;rs7127808;rs7120517;rs118011160;rs117309574,93,chr11:65029233-67407031,3.10E-17,ENSG00000173898,SPTBN2,1.36E-13,FALSE,<0.01,
rs6060001,12,chr20:32951041-33680674,7.47E-07,ENSG00000198646,NCOA6,1.41E-13,FALSE,<0.01,
rs12407640,1,chr1:239549865-240078750,7.32E-07,ENSG00000133019,CHRM3,1.43E-13,TRUE,<0.01,
rs11869798,2,chr17:80477589-80606411,3.84E-06,ENSG00000141568,FOXK2,1.56E-13,FALSE,<0.01,
rs6697584;rs75500877;rs3766979;rs3845446,1,chr1:181382238-181777219,1.43E-13,ENSG00000198216,CACNA1E,1.63E-13,TRUE,<0.01,
rs2303929;rs55813292,9,chr7:150642049-150841523,1.34E-07,ENSG00000164885,CDK5,1.77E-13,TRUE,<0.01,
rs5750200,1,chr22:36134783-36424473,6.99E-06,ENSG00000100320,RBFOX2,1.86E-13,TRUE,<0.01,
rs9888796;rs62059344;rs255053;rs111965666;rs3868142,51,chr16:67143915-68601039,1.20E-12,ENSG00000039523,FAM65A,1.89E-13,FALSE,<0.01,
rs10761202;rs111370527,4,chr9:95947198-96328397,4.28E-10,ENSG00000048828,FAM120A,1.97E-13,FALSE,<0.01,
rs13275199;rs73693135,9,chr8:67579831-68658620,6.20E-07,ENSG00000066777,ARFGEF1,2.04E-13,FALSE,<0.01,
rs2795023,2,chr20:11871371-11907257,5.67E-06,ENSG00000132640,BTBD3,2.20E-13,TRUE,<0.01,
rs7775100,1,chr6:96463860-96653420,1.20E-09,ENSG00000172461,FUT9,2.27E-13,TRUE,<0.01,
rs11780023;rs2977464,2,chr8:141541264-142012315,1.17E-09,ENSG00000169398,PTK2,2.27E-13,TRUE,<0.01,
rs9375403;rs9375188;rs1338554;rs56231335;rs6932108;rs62420387;rs17813721;rs185063430;rs11968507;rs2211058;rs4521599;rs117047767,2,chr6:98150157-99286660,8.78E-52,ENSG00000184486,POU3F2,2.29E-13,TRUE,<0.01,
rs2149866;rs9557834,2,chr13:102375035-103054799,1.35E-07,ENSG00000102466,FGF14,2.30E-13,TRUE,<0.01,
rs164938;rs1719571;rs115923660,6,chr3:10289707-10749716,1.05E-09,ENSG00000157087,ATP2B2,2.31E-13,TRUE,<0.01,
rs12473986;rs711793;rs10193498;rs13025467;rs2676507;rs7583613;rs72897145;rs12620774,3,chr2:173600002-174146764,5.01E-12,ENSG00000091428,RAPGEF4,2.46E-13,FALSE,<0.01,
rs12638072;rs77554090;rs1404549;rs6445489;rs78249472;rs75846417,1,chr3:65342053-66024509,3.13E-12,ENSG00000151276,MAGI1,2.51E-13,FALSE,<0.01,
rs9649,4,chr17:33897849-34070540,6.13E-09,ENSG00000006125,AP2B1,3.00E-13,FALSE,<0.01,
rs6977237;rs11971750;rs35556294;rs11763885;rs35638429;rs12699616;rs12699610;rs17590791;rs7788935,2,chr7:13930853-15014402,5.59E-09,ENSG00000006468,ETV1,3.09E-13,TRUE,<0.01,
rs4984682,16,chr16:616995-818865,1.82E-16,ENSG00000197562,RAB40C,3.23E-13,FALSE,<0.01,
rs6774002,1,chr3:123798870-124440036,4.64E-07,ENSG00000160145,KALRN,3.59E-13,TRUE,<0.01,
rs77510794,2,chr1:42628362-42801548,2.45E-06,ENSG00000198815,FOXJ3,3.69E-13,FALSE,<0.01,
rs9347382;rs4709383,2,chr6:160327974-160534539,7.15E-07,ENSG00000130368,MAS1,3.79E-13,TRUE,<0.01,
rs9912317,4,chr17:7788124-7835317,9.92E-06,ENSG00000170004,CHD3,4.09E-13,FALSE,<0.01,
rs864899,7,chr12:50569571-51326300,9.83E-08,ENSG00000066084,DIP2B,4.17E-13,FALSE,<0.01,
rs62109862;rs3786712;rs56160517,14,chr19:12873817-13068050,2.85E-11,ENSG00000105613,MAST1,4.24E-13,FALSE,<0.01,
rs35550545;rs188415602;rs12718416;rs192569608;rs144581493,33,chr1:149900543-151098018,1.04E-07,ENSG00000213190,MLLT11,4.59E-13,FALSE,<0.01,
rs2212430;rs2852106,1,chr11:109292846-109299840,1.32E-10,ENSG00000185742,C11orf87,4.69E-13,TRUE,<0.01,
rs56391344;rs72730738;rs62007827;rs28558809;rs4254287,2,chr15:77905369-78081016,7.49E-20,ENSG00000169783,LINGO1,4.70E-13,TRUE,<0.01,
rs9933256;rs2050115,1,chr16:1203241-1271771,6.06E-17,ENSG00000196557,CACNA1H,5.59E-13,FALSE,<0.01,
rs12665999,2,chr7:116312248-116559315,4.08E-07,ENSG00000198898,CAPZA2,5.61E-13,FALSE,<0.01,
rs28513882;rs609777,1,chr3:107241783-107530171,2.03E-09,ENSG00000114439,BBX,5.89E-13,TRUE,<0.01,
rs6690939,1,chr1:40144320-40157361,3.72E-06,ENSG00000116983,HPCAL4,6.35E-13,TRUE,<0.01,
rs12817428;rs12313886,1,chr12:119419300-119600856,5.64E-06,ENSG00000139767,SRRM4,6.64E-13,TRUE,<0.01,
rs2406253;rs10241492;rs4134932,17,chr7:99699172-100092422,3.58E-14,ENSG00000166924,C7orf51,7.19E-13,FALSE,<0.01,
rs9912317,4,chr17:7788124-7835317,9.92E-06,ENSG00000170049,KCNAB3,7.27E-13,FALSE,<0.01,
rs1413275,1,chr13:88324870-88331868,5.88E-06,ENSG00000165300,SLITRK5,7.51E-13,TRUE,<0.01,
rs17411339;rs2043187;rs2298656;rs1671269;rs141586924;rs1502219;rs79162241;rs12959714;rs117027853;rs3964628,6,chr18:49867158-51908404,5.10E-23,ENSG00000187323,DCC,7.61E-13,TRUE,<0.01,
rs2072927,6,chr1:1656277-1935276,1.48E-06,ENSG00000215790,SLC35E2,7.87E-13,TRUE,<0.01,
rs12746551;rs1418609;rs141196516,5,chr1:113933371-114430169,1.44E-09,ENSG00000081019,RSBN1,8.89E-13,TRUE,<0.01,
rs7591985,1,chr2:65454887-65498387,2.69E-06,ENSG00000138071,ACTR2,8.95E-13,TRUE,<0.01,
rs16531,1,chr17:37329709-37353902,5.62E-08,ENSG00000067191,CACNB1,9.01E-13,TRUE,<0.01,
rs6977237;rs11971750;rs35556294;rs11763885;rs35638429;rs12699616;rs12699610;rs17590791;rs7788935,2,chr7:13930853-15014402,5.59E-09,ENSG00000136267,DGKB,1.04E-12,TRUE,<0.01,
rs9611597;rs9607859;rs4822112;rs148537066;rs2899355;rs2142695,35,chr22:41165634-42828401,2.30E-08,ENSG00000100393,EP300,1.07E-12,FALSE,<0.01,
rs12591647,6,chr15:65673802-66084631,7.78E-17,ENSG00000074603,DPP8,1.13E-12,FALSE,<0.01,
rs12953422;rs72953382;rs11081851,2,chr18:31158541-31803515,1.89E-08,ENSG00000101746,NOL4,1.17E-12,TRUE,<0.01,
rs61993073;rs435802;rs17753885;rs79347652;rs4899737;rs61978300,1,chr14:78708734-80330762,7.92E-07,ENSG00000021645,NRXN3,1.19E-12,TRUE,<0.01,
rs10984445;rs1009470;rs7869075;rs12553064;rs110797;rs3758338;rs17580614,1,chr9:121915736-122131745,2.58E-16,ENSG00000078725,DBC1,1.24E-12,TRUE,<0.01,
rs7460106;rs144336753;rs77702622;rs902820;rs4976954;rs13274119;rs11775314;rs118083122;rs9324592;rs4130074,3,chr8:143279717-143626370,2.06E-13,ENSG00000181790,BAI1,1.28E-12,TRUE,<0.01,
rs2718277;rs7810710,2,chr7:73868120-74175026,2.99E-08,ENSG00000077809,GTF2I,1.30E-12,TRUE,<0.01,
rs728054;rs322349;rs10253968,3,chr7:136912088-137531838,2.34E-18,ENSG00000157680,DGKI,1.33E-12,FALSE,<0.01,
rs9927137,11,chr16:30583571-30905623,5.11E-09,ENSG00000080603,SRCAP,1.47E-12,FALSE,<0.01,
rs35550545;rs188415602;rs12718416;rs192569608;rs144581493,33,chr1:149900543-151098018,1.04E-07,ENSG00000163125,RPRD2,1.48E-12,FALSE,<0.01,
rs118093058;rs117862461;rs4034,31,chr11:62201016-63177766,3.78E-12,ENSG00000162188,GNG3,1.48E-12,TRUE,<0.01,
rs72990858,1,chr6:105175968-105307794,1.00E-07,ENSG00000085382,HACE1,1.69E-12,TRUE,<0.01,
rs1054442;rs80257979;rs11168951;rs11168828,15,chr12:49297286-49692465,1.10E-20,ENSG00000167548,MLL2,1.85E-12,FALSE,<0.01,
rs35493937,1,chr2:65537985-65659771,9.73E-14,ENSG00000198369,SPRED2,1.90E-12,TRUE,<0.01,
rs8008382,3,chr14:103995521-104167888,4.07E-12,ENSG00000126214,KLC1,1.95E-12,FALSE,<0.01,
rs2024568,3,chr20:44650329-44758502,1.61E-09,ENSG00000124140,SLC12A5,1.96E-12,FALSE,<0.01,
rs9903071;rs34400969,4,chr17:3822869-4167274,3.37E-07,ENSG00000074755,ZZEF1,1.96E-12,FALSE,<0.01,
rs11174399;rs1146079;rs11173930,4,chr12:62102040-62991363,2.42E-10,ENSG00000198673,FAM19A2,2.00E-12,FALSE,<0.01,
rs62367470;rs9687260,1,chr5:45259349-45696253,3.34E-07,ENSG00000164588,HCN1,2.34E-12,TRUE,<0.01,
rs743316;rs61739710;rs2834287,8,chr21:34757299-35272165,8.21E-11,ENSG00000205726,ITSN1,2.38E-12,FALSE,<0.01,
rs68145588;rs1001168,1,chr17:76000249-76104916,7.53E-10,ENSG00000078687,TNRC6C,2.62E-12,TRUE,<0.01,
rs150537577;rs62294077,3,chr4:699537-819986,9.50E-09,ENSG00000168993,CPLX1,2.72E-12,FALSE,<0.01,
rs770381;rs79644175,3,chr13:50570024-51298199,7.25E-07,ENSG00000231607,DLEU2,2.90E-12,FALSE,<0.01,
rs74415461;rs118124826;rs35754755;rs4785577;rs9673820;rs9932312;rs12917772;rs8047204,26,chr16:89154783-90142338,6.25E-12,ENSG00000003249,DBNDD1,2.93E-12,FALSE,<0.01,
rs28512462,1,chr16:24741016-24837548,9.77E-15,ENSG00000090905,TNRC6A,3.04E-12,TRUE,<0.01,
rs610382,3,chr11:133938820-134117686,1.94E-06,ENSG00000151502,VPS26B,3.08E-12,TRUE,<0.01,
rs3751331;rs138569349;rs1148547,20,chr12:57984957-58351052,1.75E-11,ENSG00000135439,AGAP2,3.29E-12,FALSE,<0.01,
rs785499,8,chr1:46049518-46642160,2.02E-07,ENSG00000159592,GPBP1L1,3.30E-12,FALSE,<0.01,
rs10496091;rs116386746;rs28551472;rs56949301;rs145281763;rs11693744,9,chr2:60983365-61765761,3.71E-17,ENSG00000162929,KIAA1841,3.34E-12,FALSE,<0.01,
rs1335482;rs12754946;rs2647504;rs114020893,10,chr1:77747736-78835149,1.01E-11,ENSG00000154027,AK5,3.62E-12,TRUE,<0.01,
rs72944064;rs12969389,1,chr18:63417488-63552376,9.39E-10,ENSG00000081138,CDH7,4.17E-12,TRUE,<0.01,
rs6881581,10,chr5:140710252-140998622,1.08E-10,ENSG00000240184,PCDHGC3,4.25E-12,FALSE,<0.01,
rs12123293,1,chr1:210856555-211307457,4.48E-09,ENSG00000143473,KCNH1,4.28E-12,TRUE,<0.01,
rs35751693;rs13034349;rs35836525;rs11692435,9,chr2:97541620-98612388,8.04E-10,ENSG00000075568,TMEM131,4.39E-12,FALSE,<0.01,
rs17604349;rs62051146;rs17668674;rs35999374;rs9927049;rs138696382;rs34113301;rs62055046,21,chr16:70721342-72210777,2.36E-12,ENSG00000040199,PHLPP2,4.42E-12,FALSE,<0.01,
rs5765717,1,chr22:44888452-44894178,1.37E-07,ENSG00000188636,LDOC1L,4.55E-12,TRUE,<0.01,
rs61104616;rs324885;rs193706;rs141729694;rs72771860;rs16903468;rs2365376;rs56324019;rs115732298;rs79486459;rs16903288;rs28582119;rs10474278,8,chr5:87485450-88762215,1.56E-34,ENSG00000245526,LINC00461,4.65E-12,TRUE,<0.01,
rs12468040;rs72792395;rs163229;rs4952728;rs698819,5,chr2:44502599-45173216,3.12E-21,ENSG00000138078,PREPL,4.66E-12,FALSE,<0.01,
rs9929993;rs12709186;rs11644446;rs4787028;rs11076962;rs74889647;rs7200163;rs1476977;rs2078357,1,chr16:6069095-7763340,3.18E-12,ENSG00000078328,RBFOX1,4.93E-12,TRUE,<0.01,
rs112603734;rs617380;rs78580713,1,chr6:5998232-6007200,2.72E-09,ENSG00000124785,NRN1,5.25E-12,TRUE,<0.01,
rs75868942,1,chr3:55542336-56502391,4.86E-06,ENSG00000187672,ERC2,5.51E-12,TRUE,<0.01,
rs4558451,1,chr17:9813926-10101868,1.21E-06,ENSG00000007237,GAS7,5.51E-12,TRUE,<0.01,
rs61855292,1,chr10:61788159-62493248,4.59E-07,ENSG00000151150,ANK3,5.75E-12,TRUE,<0.01,
rs11971332;rs10951590;rs13246220;rs113205706;rs10268735;rs35787907;rs78118326;rs886765,8,chr7:39017598-40900362,3.62E-13,ENSG00000065883,CDK13,5.84E-12,FALSE,<0.01,
rs307913,1,chr19:54412589-54447195,2.44E-06,ENSG00000105605,CACNG7,5.85E-12,FALSE,<0.01,
rs6994287;rs35847492,1,chr8:9413424-9639856,1.11E-12,ENSG00000173273,TNKS,5.97E-12,TRUE,<0.01,
